gnd_uri,gnd_id,cbdd_building,cbdd_item_url,bildindex_items_count
https://d-nb.info/gnd/4210422-1,4210422-1,"Ludwigsburg, Residenzschloss",https://www.deckenmalerei.eu/79f49a02-2f96-4a7e-8f6d-4c49257ae5d6,418
https://d-nb.info/gnd/4242293-0,4242293-0,"Weikersheim, Schloss",https://www.deckenmalerei.eu/d3d6288e-9f10-4f25-bf26-8eb724401362,145
https://d-nb.info/gnd/4690058-5,4690058-5,"Bückeburg, Residenzschloss",https://www.deckenmalerei.eu/9917ae60-5daa-42cb-a2b0-bd14e8252d63,117
https://d-nb.info/gnd/4126168-9,4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",https://www.deckenmalerei.eu/fe83b5f7-0c5c-44e9-8da6-180db25f1f89,102
https://d-nb.info/gnd/4137109-4,4137109-4,"Berlin, Stadtschloss",https://www.deckenmalerei.eu/037d1d8a-4487-4391-805c-c59b55d078d6,99
https://d-nb.info/gnd/4090793-4,4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",https://www.deckenmalerei.eu/70f1cedd-7fd8-4a29-a996-b6d564e5e286,91
https://d-nb.info/gnd/4617816-8,4617816-8,"Hannover-Herrenhausen, Galeriegebäude",https://www.deckenmalerei.eu/86aa6207-7922-4b47-93e9-5702c8478a13,90
https://d-nb.info/gnd/4129217-0,4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",https://www.deckenmalerei.eu/55e937dc-f00b-4c02-9957-aa1d059b29f3,83
https://d-nb.info/gnd/4775028-5,4775028-5,"Nordkirchen, sog. Schloss",https://www.deckenmalerei.eu/3001232e-b122-463e-9705-b5ae84ffabf7,73
https://d-nb.info/gnd/4513799-7,4513799-7,"Altenburg, Residenzschloss",https://www.deckenmalerei.eu/7978395e-defe-4b14-aa73-777e671fca06,72
https://d-nb.info/gnd/4554406-2,4554406-2,"Caputh, Schloss",https://www.deckenmalerei.eu/2a1c36e9-b84b-4c8f-ad4b-6367ce19a3bd,70
https://d-nb.info/gnd/4237872-2,4237872-2,"Bayreuth, Neues Schloss",https://www.deckenmalerei.eu/41bc15be-de47-4456-8984-3579a98687e5,62
https://d-nb.info/gnd/4369552-8,4369552-8,"Idstein, Residenzschloss",https://www.deckenmalerei.eu/e12f3572-4e5e-4323-a0e6-1f119469ae0d,57
https://d-nb.info/gnd/4122902-2,4122902-2,"Berlin, Schloss Charlottenburg",https://www.deckenmalerei.eu/75df3f1f-6937-4c92-b204-4ce261345989,55
https://d-nb.info/gnd/4361868-6,4361868-6,"Mannheim, Jesuitenkolleg",https://www.deckenmalerei.eu/5e41f21c-a819-4542-a783-87e94e7128fb,53
https://d-nb.info/gnd/4641676-6,4641676-6,"Alteglofsheim, Schloss",https://www.deckenmalerei.eu/0e2cca35-f186-4d84-b512-b8bcde2d6264,51
https://d-nb.info/gnd/4547999-9,4547999-9,Schloss Sünching,https://www.deckenmalerei.eu/05299aa0-c7ed-11e9-91e0-9bbdba1c3ce9,48
https://d-nb.info/gnd/7723980-5,7723980-5,"Neustadt an der Waldnaab, Neues Schloss",https://www.deckenmalerei.eu/b9d6b2fb-c594-49f7-859e-2494fe880385,44
https://d-nb.info/gnd/7534720-9,7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",https://www.deckenmalerei.eu/5022e2b0-0fd1-4194-b311-76c06f0b97ed,40
https://d-nb.info/gnd/4689289-8,4689289-8,"Eisenach, Residenzschloss",https://www.deckenmalerei.eu/52f0cb6c-c640-459f-8fcb-cc399ca5b396,40
https://d-nb.info/gnd/4359350-1,4359350-1,"Bayreuth, Altes Schloss der Eremitage",https://www.deckenmalerei.eu/e9c27db4-8d4d-4791-93ad-99c243b5cd31,38
