url,expected_title,actual_title,building
https://www.bildindex.de/document/obj20025606,Innendekoration der Ordenskapelle – Deckendekoration der Ordenskapelle – Cherub mit Bibel,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Ludwigsburg, Residenzschloss"
https://www.bildindex.de/document/obj20025608,Innendekoration der Ordenskapelle – Deckendekoration der Ordenskapelle – Cherubim,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Ludwigsburg, Residenzschloss"
https://www.bildindex.de/document/obj20025614,Innendekoration des Porzellanzimmers – Drolerien und Grotesken,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Ludwigsburg, Residenzschloss"
https://www.bildindex.de/document/obj20025615,Innendekoration des Porzellanzimmers – Drolerien und Grotesken – Zechendes Pärchen,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Ludwigsburg, Residenzschloss"
https://www.bildindex.de/document/obj20338384,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament – Geburt Christi,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Weikersheim, Schloss"
https://www.bildindex.de/document/obj20338385,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament – Jüngstes Gericht,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Weikersheim, Schloss"
https://www.bildindex.de/document/obj20338386,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament – Jonas wird vom Wal ausgespien,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Weikersheim, Schloss"
https://www.bildindex.de/document/obj20249543,Balustrade,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Bückeburg, Residenzschloss"
https://www.bildindex.de/document/obj20347224,Deckendekoration,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Berlin, Stadtschloss"
https://www.bildindex.de/document/obj20347225,"Athena stürzt sich auf aufrührerischen Lapithen, 2. Obergeschoss",Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Berlin, Stadtschloss"
https://www.bildindex.de/document/obj20347226,Decke (Bauteil),Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Berlin, Stadtschloss"
https://www.bildindex.de/document/obj20347227,Decke (Bauteil),Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Berlin, Stadtschloss"
https://www.bildindex.de/document/obj20347229,Atlant,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Berlin, Stadtschloss"
https://www.bildindex.de/document/obj20346875,Innendekoration des Flures – Putto mit Lorbeerzweig,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Hannover-Herrenhausen, Galeriegebäude"
https://www.bildindex.de/document/obj20346876,Innendekoration des Flures – Barmherzigkeit und Wahrheit begegnen sich,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Hannover-Herrenhausen, Galeriegebäude"
https://www.bildindex.de/document/obj20346877,Innendekoration des Flures – Friede und Gerechtigkeit küssen sich,Bildindex der Kunst &amp; Architektur - Startseite Bildindex,"Hannover-Herrenhausen, Galeriegebäude"
