building_gnd,building_name,source,painting_title,creator,painting_url
4210422-1,"Ludwigsburg, Residenzschloss",Bildindex,Innendekoration des Porzellanzimmers,"Eberhard Ludwig (Württemberg, Herzog)",https://www.bildindex.de/document/obj20025613
4210422-1,"Ludwigsburg, Residenzschloss",CBDD,"Ludwigsburg, Residenzschloss",,https://www.deckenmalerei.eu/79f49a02-2f96-4a7e-8f6d-4c49257ae5d6
4242293-0,"Weikersheim, Schloss",Bildindex,Gärtnerhaus im weikersheimer Schlossgarten,"Hohenlohe-Weikersheim, Carl Ludwig von (Graf)",https://www.bildindex.de/document/obj20338370
4242293-0,"Weikersheim, Schloss",Bildindex,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament,"Schmidt, Gerhardt",https://www.bildindex.de/document/obj20338383
4242293-0,"Weikersheim, Schloss",CBDD,"Weikersheim, Schloss",,https://www.deckenmalerei.eu/d3d6288e-9f10-4f25-bf26-8eb724401362
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Trompetergang,"Schrader, Heinrich",https://www.bildindex.de/document/obj20249542
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Das Jüngste Gericht,"Ernst (Holstein-Schaumburg, Graf)",https://www.bildindex.de/document/obj20249567
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Herkules am Scheideweg,,https://www.bildindex.de/document/obj20249571
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Innendekoration des großen boisierten Zimmers,"Albrecht Wolfgang (Schaumburg-Lippe, Graf)",https://www.bildindex.de/document/obj20249573
4690058-5,"Bückeburg, Residenzschloss",CBDD,"Bückeburg, Residenzschloss",,https://www.deckenmalerei.eu/9917ae60-5daa-42cb-a2b0-bd14e8252d63
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Ankunft des Odysseus auf der Insel der Calypso,"Wink, Christian",https://www.bildindex.de/document/obj20186299
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Allegorie des Sommers,"Amigoni, Jacopo",https://www.bildindex.de/document/obj20186300
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Allegorie der Einigkeit,"Amigoni, Jacopo",https://www.bildindex.de/document/obj20186301
