gnd,painter_name,cbdd_works,bi_works
https://d-nb.info/gnd/115460403,"Hermann Werner (Paderborn, Fürstbischof)",9,4
https://d-nb.info/gnd/136578101,"Pedrozzi, Joh. Baptist",9,41
https://d-nb.info/gnd/133656829,"Ponzano, Antonio",9,2
https://d-nb.info/gnd/116956046,"Hohenlohe-Waldenburg-Schillingsfürst, Philipp Ernst von",9,15
https://d-nb.info/gnd/119382148,"Terwesten, Augustin (der Ältere)",9,5
https://d-nb.info/gnd/141607505,"Sanguinetti, Lazarus Maria",9,46
https://d-nb.info/gnd/102109117,"Friedrich (Sachsen-Gotha-Altenburg, Herzog, 2)",83,190
https://d-nb.info/gnd/122063317,"Magdalena Sibylla (Württemberg, Herzogin)",8,54
https://d-nb.info/gnd/136192041,"Dernath, Gerhard von",8,11
https://d-nb.info/gnd/133473384,"Castelli, Carlo Antonio (1709)",8,33
https://d-nb.info/gnd/119452952,"Dorothea (Braunschweig-Lüneburg, Herzogin)",8,7
https://d-nb.info/gnd/118522590,"Cranach, Lucas (der Jüngere)",8,44
https://d-nb.info/gnd/117731846,"Flachslanden, Jean Baptiste Antoine de",8,12
https://d-nb.info/gnd/10210915X,"Friedrich (Sachsen-Gotha, Herzog, 1)",75,22
https://d-nb.info/gnd/119052520,"Christian (Sachsen-Eisenberg, Herzog)",73,2
https://d-nb.info/gnd/118649485,"Anna Amalie (Sachsen-Weimar-Eisenach, Herzogin)",7,1
https://d-nb.info/gnd/129906689,"Reuß, Heinrich (Greiz, Fürst, 11, ältere Linie)",7,9
https://d-nb.info/gnd/1019736720,"Dubuisson, Augustin",7,9
https://d-nb.info/gnd/1093884479,"Carlone, Giovanni",7,26
https://d-nb.info/gnd/137997043,"Deyssinger, Johann Leopold",7,37
https://d-nb.info/gnd/130132365,"Heinrich XXIV. (Reuß-Köstritz, Graf)",7,9
https://d-nb.info/gnd/118535978,"Friedrich Wilhelm (Preußen, König, 1)",7,10
https://d-nb.info/gnd/132841746,"Fechhelm, Carl Friedrich",7,15
https://d-nb.info/gnd/139216138,"Plettenberg, Ferdinand von",7,27
https://d-nb.info/gnd/138093776,"Adelmann von Adelmannsfelden, Joseph Anselm",7,7
https://d-nb.info/gnd/1163757071,"Knuth, Adam Levin von",7,10
https://d-nb.info/gnd/10418339X,"Ludwig Friedrich (Schwarzburg-Rudolstadt, Fürst, 1)",7,6
https://d-nb.info/gnd/121605930,"Simula, Johann Gottfried",7,9
https://d-nb.info/gnd/129273872,"Harrath, Joseph Anton",7,5
https://d-nb.info/gnd/118771841,"Wilhelm (Bayern, Herzog, 5)",69,2
https://d-nb.info/gnd/118806262,"Franz Wilhelm (Osnabrück, Bischof)",68,25
https://d-nb.info/gnd/118535749,"Friedrich (Preußen, König, 2, der Große)",66,151
https://d-nb.info/gnd/189409967,"Alovisii, Andrea",66,2
https://d-nb.info/gnd/12890285X,"Elisabeth Amalie (Pfalz, Kurfürstin)",6,16
https://d-nb.info/gnd/118720961,"Dalberg, Carl von",6,1
https://d-nb.info/gnd/118749978,"Rothweil, Julius Ludwig",6,75
https://d-nb.info/gnd/119189712,Ambrosius von Oelde,6,15
https://d-nb.info/gnd/127472150,"Harsewinkel, Florenz Karl Joseph",6,14
https://d-nb.info/gnd/118742221,"Philipp Wilhelm (Pfalz, Kurfürst)",6,16
https://d-nb.info/gnd/136156606,"Luchese, Carlo Domenico",6,33
https://d-nb.info/gnd/122092996,"Verona, Bartolomeo",6,4
https://d-nb.info/gnd/142851876,"Ludwig Friedrich Carl <Hohenlohe-Neuenstein, Fürst>",6,2
https://d-nb.info/gnd/123561817,"Demmel, Augustin Joseph",6,36
https://d-nb.info/gnd/11663930X,"Roth zu Schreckenstein, Honorius",6,12
https://d-nb.info/gnd/123546850,"Reichlin-Meldegg, Anselm von",59,4
https://d-nb.info/gnd/11857941X,"Maximilian Emanuel (Bayern, Kurfürst, 2)",53,21
https://d-nb.info/gnd/1038331048,"Richter, Christian (2)",5,26
https://d-nb.info/gnd/1029694745,"Landes, Anton",5,24
https://d-nb.info/gnd/1166337499,"Herkulan (Dießen, Propst)",5,1
https://d-nb.info/gnd/118820613,"Damian Hugo (Speyer, Bischof)",5,22
https://d-nb.info/gnd/119554348,"Viani, Antonio Maria",5,2
https://d-nb.info/gnd/119124378,"Bielfeld, Jakob Friedrich von (Freiherr)",5,4
https://d-nb.info/gnd/136848354,"Richter, Rudolf Heinrich",5,10
https://d-nb.info/gnd/1020173246,"Fridag von Gödens, Haro Burkhard",5,3
https://d-nb.info/gnd/119472120,"Seinsheim, Joseph Franz Maria Ignaz von",5,46
https://d-nb.info/gnd/115586490,"Boyneburg, Johann Adolph von",5,2
https://d-nb.info/gnd/102125880,"Christian Albrecht (Holstein-Gottorp, Herzog)",5,1
https://d-nb.info/gnd/119334739,"Mölk, Joseph Adam von",5,7
https://d-nb.info/gnd/11889658X,"Sölner, Wilhelm",5,8
