nfdi_uri,label,year,parentLabel,subjects
https://www.deckenmalerei.eu/00730a0e-98be-4bca-8a49-5e68ba7af206,"Lüneburg, Kloster Lüne",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0086766a-24d6-437e-ae2c-8c554335904a,"Grainau, Pfarrkirche St. Johann Baptist","1697-1749, 1782",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/00c6a927-3e65-43f1-896d-137656ee6fcb,"Gleschendorf, Haus Wiesenweg 4",1763,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/00e1625e-0ac7-4230-a151-c46a4718b3fd,"Burggen, Kapelle St. Anna","17., 18. Jh.",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0112a993-8479-42f7-8919-be4306d63e56,"Egling a. d. Paar, Pfarrkirche St. Vitus",1768-1783,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/021afb11-438b-4f7b-aa6f-d169b4607e22,"Iffeldorf, Heuwinklkapelle","1698, 1701",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/023d2508-d285-4e48-9b43-0fd41d890745,"Weimar-Ehringsdorf, Lustschloss Belvedere",1724-1754,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0244abf2-9ef8-46be-92a9-d3e0b448fead,"Issing, Pfarrkirche St. Margareta","bis 1716, Weihe 1736",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0288422c-044d-4cbe-8e3c-7dc570d4c7c1,"Reinbek, Schloss","1571-1576, 1615-1621",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/02f7125d-cfb1-4fa3-ad18-56ec5e901cb6,"Hessental, Hällische Erbschänke, Gasthaus Krone","1558, 1573, 1754–1755",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/03414469-1219-4fcc-a5a2-88742b6ef1b5,"Lauchheim, Pfarrhaus",1728,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0347889d-8e8c-4582-8330-d8edc398cfdb,"Haimhausen, Klausenkapelle Maria von Loreto",1701,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/034d9deb-0211-4880-ab1e-166653d094b7,"Felsberg,  Gartenpavillon am Obertor 16","wohl 18. Jahrhundert, aktuelle Dacheindeckung frühestens 1950er Jahre",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/037d1d8a-4487-4391-805c-c59b55d078d6,"Berlin, Stadtschloss",ab 1443-1950,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/03e8eac8-bdf2-4c9f-8a6f-b5674f08495c,"Weindorf, Filialkirche St. Martin","mittelalterlich, 1730-1734",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/043e1e20-2c95-42be-8592-5a0f1771d50d,"Eisenberg, Residenzschloss Christiansburg",1677-1707,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0459d46a-28b4-4b37-80ca-a9641b4aabbc,"Weimar, ehem. Residenzschloss Wilhelmsburg",1618-1662,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/04827862-b594-4857-915a-de56cf638f93,"Gelting, Filialkirche St. Benedikt","2. Hälfte 17. Jahrhundert, 1734",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/04a07111-6113-4451-aa29-b45b1f7ffefe,"Weilburg, Schlosskirche","Vorgängerbau aus dem späten 14. Jhd, im 16. instand gesetzt, Turm erhalten, Neubau 1707-12",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/04f6e7bf-a2cb-4566-81a6-c43619495c22,"Potsdam, Neue Kammern (Sanssouci)","1747/48, 1771-1775, 1842/43, 1861, 1924, 1963-1987",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/050a655a-7da4-401c-85d3-15f4febe811d,"Hamburg, ehem. Haus Katharinenstraße 9","1630-1640, 1710-1720",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/050f6e19-f3dd-44c2-a08f-5bad46573e21,"Bad Tennstedt, Markt 15",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/05299aa0-c7ed-11e9-91e0-9bbdba1c3ce9,Schloss Sünching,"ab 1668, Umbau 1757-66",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/054de6d9-786b-450f-be29-887dabfc960f,"St. Leonhard, Wallfahrtskirche St. Leonhard",ab 1764,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/055c5124-2ef7-4f3d-a809-1461db9fe357,"Rottenburg a. d. Laaber, Schloss Niederhatzkofen",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/056eccdc-183a-4740-a0bd-673b937f889f,"Bayrischzell, Pfarrkirche St. Margareta","1476, 1733",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/05a0f85d-7a14-49af-af13-b50d533307af,"Korbach, sogennannte Waage (ehem. Rathaus)","1730, Kellergewölbe und Südwand im Erdgeschoss 14. Jahrhundert",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/05b4914f-3beb-43d5-816d-19c858f3180a,"Kolitzheim, Schloss Zeilitzheim","1677/1678–1683, 1735–1737",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0633d01e-0e1e-4645-81d3-8ff939dfc0fa,"Westerholzhausen, Pfarrkirche St. Korbinian","Mittelalterlich, 1707, Mitte des 18. Jhd., 1838, 1846/47, 1853/54, 1861",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/06370e4a-80b4-4767-86ab-61d4c6daf3ae,"Wismar, Kleine Hohe Straße 13",18. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0656df8b-2e41-4cc6-b05e-4ac272ed2adf,"Schmidmühlen, Unteres Schloss (Hammerschloss)","1465, 1700-1705",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/065bd9c8-50cc-4344-a21f-00719b4bde9f,"Bundorf, Schloss",1549; 1563; 1723–1725,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0678f9cc-e52d-46e8-9a83-2b08a4a002a6,"Weimar, Römisches Haus",1791-1798,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/06911599-cbc8-4941-84b2-e4d40d415ec5,"Diez, Schloss Oranienstein",1671-1684 (Errichtung); 1704-1716 (Umbau und Neuausstattung),,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/06a268af-81be-4ac5-8fbc-08e853a9be5d,"Haunshofen, Pfarrkirche St. Gallus",1754,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/06b4136d-1385-4576-a4ae-ba5a57afe845,"Preetz, Mühlenstraße 6",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/06c40702-32fa-4187-9c9a-4fe54b146e46,"München, ehem. Klosterkirche St. Anna Damenstift",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/07499bb1-e06a-45f5-9d1e-d375b58fba34,"Harburg, Schlosskirche St. Michael",Umbaumaßnahmen 1720/1721,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/077e60aa-9166-47b2-a4a0-97ed06a4032c,"Grafrath, Wallfahrts- und Klosterkirche St. Rasso","950, 1132, 1593, 1688-95, 1753-1755",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0877d992-f358-4513-8d70-411e3c24937f,"Tettnang, Neues Schloss",1712–1728; 1754–1761,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/08b33786-9de1-4d8b-b61a-b9ce8e8fe157,"Obereglfing, Pfarrkirche St. Martin","Mittelalter, Mitte d. 18. Jh.",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/08f2ffb8-87b0-4537-b7c3-647f8e443b77,"Hurlach, Pfarrkirche St. Laurentius","um 1500, 1730",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0913492a-4e2a-4660-ab22-4f86ee905ada,"Potsdam, Neues Palais",1763-69,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0946e239-2dd7-4f8b-8bcd-ddc719233eaf,"Neuenhuntorf, Gutshaus",1678,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0a1be697-7b76-4572-923f-e35af9d29461,"Oberhundem, Adolphsburg",1676-1681,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b2ca5ae-584b-4747-8155-768876dcd0ed,"Bad Tölz, Stiegenkirche auf dem Kalvarienberg","1718-1722, ab 1723",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b30e113-8ab4-48fd-9af9-77685df54ef0,"Regensburg, Schwanenplatz 1",14. Jahrhundert - 17. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b30e113-8ab4-48fd-9af9-77685df54ef0,"Regensburg, Schwanenplatz 1",14. Jahrhundert - 17. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b346c44-3c61-4972-aca4-43de268ed736,"Piesenkam, Filialkirche St. Jakobus Major","spätgotisch, 18. Jahrhundert",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b8a7e6d-d6ea-46d5-a8f6-26914b8b7eb9,"Augsburg, Gartenpavillon Haus St. Ambrosius",wohl um 1755,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0bd9e911-d5d0-477a-aa81-def240b8ab4c,"Schliersee, Pfarrkirche St. Sixtus",1712-1715,,http://vocab.getty.edu/aat/300004792
